Consultant,Client,Engagement,Position,TaskGroup,ReportDate,TaskDescription,BillableHours,NonBillableHours,BillingRate,Hours Bill,FirmSharePercent,Total Pay,Description_Time
,New Life CFO Services Total,,,,,,262,,,"$6,550.00 ",,"$6,550.00 ",
Alex Liu Total,,,,,,,262,,,"$6,550.00 ",,"$6,550.00 ",
Bruce Goodwin,,,,,,,,,,,,,
,New Life Controller Services,,,,,,,,,,,,
,,New Life Controller Services - Admin,,,,,,,,,,,
,,,Accounting Manager,,,,,,,,,,
,,,,NLCFO - Admin,,,,,,,,,
,,,,,7/25/2017,Company Meeting,2,0,$30.00 ,$60.00 ,0,$60.00 ,"GoToMeeting - Onboarding. Review time input,
month-end close log, balance sheet reconciliations,
financial statements, company and client contacts."
,,,,,8/2/2017,Other,0,0.5,$30.00 ,$0.00 ,0,$0.00 ,Complete Diego's e-mail migration questionnaire.
,,,,,8/16/2017,Other,0,1.25,$30.00 ,$0.00 ,0,$0.00 ,"Set up new e-mail and Microsoft Office with
Corespace via TeamViewer."
,,,,,10/31/2017,Other,0,1,$30.00 ,$0.00 ,0,$0.00 ,Set up Egnyte by installing 4 apps.
,,,,NLCFO - Admin Total,,,2,2.75,,$60.00 ,,$60.00 ,
,,,Accounting Manager Total,,,,2,2.75,,$60.00 ,,$60.00 ,
,,New Life Controller Services - Admin Total,,,,,2,2.75,,$60.00 ,,$60.00 ,
,New Life Controller Services Total,,,,,,2,2.75,,$60.00 ,,$60.00 ,
,Whiz Q,,,,,,,,,,,,
,,Whiz Q Controller Services,,,,,,,,,,,
,,,Accounting Manager,,,,,,,,,,
,,,,Monthly End Close,,,,,,,,,
,,,,,7/31/2017,Reconcile GL Accounts,3.5,0,$30.00 ,$105.00 ,0,$105.00 ,"GoToMeeting with Phillip. Accessed Whiz-Q through
remote desktop. Reviewed journal entries in
QuickBooks. Updated month end close schedule
identifying my responsibilities. Reviewed balance 
sheet reconciliation spreadsheet."
,,,,,8/1/2017,Other,0,1.25,$30.00 ,$0.00 ,0,$0.00 ,"Responded to e-mails. Accessed Regions Bank for
Whiz-Q bank account reconciliation."
,,,,,8/2/2017,Other,5.5,0,$30.00 ,$165.00 ,0,$165.00 ,"GoToMeeting with Phillip. Gained access to Great 
Plains. Posted payroll entries for 7-26, payroll accrual
for 4 days, entered checks and withdrawals into
GP check reconciliation module. Reviewed gl
accounts. Set up and ran a trial balance."
,,,,,8/3/2017,Reconcile GL Accounts,4.5,0,$30.00 ,$135.00 ,0,$135.00 ,"Respond to e-mails, generated monthly recurring
journal entry and posted in August. Reconciled
accounts. Reviewed trial balance."
,,,,,8/4/2017,Reconcile GL Accounts,1.75,0,$30.00 ,$52.50 ,0,$52.50 ,"Generated 8-3 payroll report. Coded to new gl
accounts. Posted je in GP."
,,,,,8/5/2017,Reconcile GL Accounts,2,0,$30.00 ,$60.00 ,0,$60.00 ,"Updated monthly close schedule. Identified BS & IS
variances."
,,,,,8/7/2017,Reconcile GL Accounts,0.75,0,$30.00 ,$22.50 ,0,$22.50 ,Account reconciliations. Text messages.
,,,,,8/8/2017,Reconcile GL Accounts,10,0,$30.00 ,$300.00 ,0,$300.00 ,"GoToMeeting with Phillip. Posted journal entries.
Updated account reconciliation spreadsheet.
Responded to e-mails. Researched I/S variances."
,,,,,8/9/2017,Reconcile GL Accounts,1.5,0,$30.00 ,$45.00 ,0,$45.00 ,"I/S variance explanations, texts and e-mails"
,,,,,8/10/2017,Other,1,0,$30.00 ,$30.00 ,0,$30.00 ,Paycheck Records setup. E-mails.
,,,,,8/11/2017,Report Generation,1.75,0,$30.00 ,$52.50 ,0,$52.50 ,"E-mails. Print 8-10 payroll and post to GP. Update
close calendar. Texts."
,,,,,8/14/2017,Reconcile GL Accounts,4.25,0,$30.00 ,$127.50 ,0,$127.50 ,"GoToMeeting with Phillip. Update August account
reconciliation spreadsheet."
,,,,,8/15/2017,Reconcile GL Accounts,3.5,0,$30.00 ,$105.00 ,0,$105.00 ,"Download mtd & ytd trial balance. Update August
Financial Statements. Update Acctg Close. 
E-mails."
,,,,,8/18/2017,Reconcile GL Accounts,2.25,0,$30.00 ,$67.50 ,0,$67.50 ,"Download 8-17 payroll, enter into GP, e-mails,
update acctg close spreadsheet."
,,,,,8/25/2017,Reconcile GL Accounts,2,0,$30.00 ,$60.00 ,0,$60.00 ,"Download 8-24 payroll, enter JE in GP, reconcile 
accounts."
,,,,,8/31/2017,Reconcile GL Accounts,6,,$30.00 ,$180.00 ,0,$180.00 ,"GoToMeeting with Phillip. Print bank activity. 
Reconcile bank statement. Update acctg close
and calendar. Run trial balance."
,,,,,8/31/2017,Other,0,1,$30.00 ,$0.00 ,0,$0.00 ,"Tried unsuccessfully to resolve remote desktop
connection to Whiz-Q QuickBooks. Asked Diego
to attempt to connect and he was unsuccessful.
Sent an e-mail to Samantha for help, but didn't
get a response."
,,,,,9/1/2017,Reconcile GL Accounts,7.75,,$30.00 ,$232.50 ,0,$232.50 ,"Print bank activity. Reconcile bank account. 
Record JE's. Update acctg close and calendar.
Print and record PR."
,,,,,9/5/2017,Reconcile GL Accounts,0.75,,$30.00 ,$22.50 ,0,$22.50 ,"Set up and posted 1 day payroll accrual. 
Researched out of balance trial balance. Account
4060 - Vendor rebates. E-mail to Samantha for
last bank rec item."
,,,,,9/7/2017,Reconcile GL Accounts,7.25,,$30.00 ,$217.50 ,0,$217.50 ,"Ran Trial balances. Prepared JE's. Reconciled
accounts. Reviewed financial statements. E-mails."
,,,,,9/8/2017,Reconcile GL Accounts,10.5,,$30.00 ,$315.00 ,0,$315.00 ,"Reconcile accts. JE's. Review financials. E-mails.
Run TB's. Post 9-6 payroll."
,,,,,9/10/2017,Reconcile GL Accounts,3,,$30.00 ,$90.00 ,0,$90.00 ,"E-mails. JE's. Downloaded reports from QB's.
Account reconciliations. Research I/S variances."
,,,,,9/11/2017,Reconcile GL Accounts,7,,$30.00 ,$210.00 ,0,$210.00 ,"JE's. E-mails. Account Reconciliations. Variance
analysis explanations."
,,,,,9/12/2017,Reconcile GL Accounts,4,,$30.00 ,$120.00 ,0,$120.00 ,JE's. E-mails. Account Reconciliations.
,,,,,9/13/2017,Controller Review,1.5,,$30.00 ,$45.00 ,0,$45.00 ,GoToMeeting with Phillip.
,,,,,9/14/2017,Monthly Close Summit,1,,$30.00 ,$30.00 ,0,$30.00 ,GoToMeeting for monthly close summit.
,,,,,9/14/2017,Reconcile GL Accounts,4.75,,$30.00 ,$142.50 ,0,$142.50 ,Post AJE #1. E-mails. Account Reconciliations.
,,,,,9/18/2017,Reconcile GL Accounts,2.5,,$30.00 ,$75.00 ,0,$75.00 ,"Download and record 9-13 PR. Prepaid Ins JE.
Update Accounting Close and Calendar."
,,,,,9/20/2017,Reconcile GL Accounts,0,2,$30.00 ,$0.00 ,0,$0.00 ,JE re-classes. Account reconciliations.
,,,,,9/21/2017,Reconcile GL Accounts,0,1.75,$30.00 ,$0.00 ,0,$0.00 ,"Research A/P question from Samantha and 
respond to her e-mail. JE to reclass Workers
Comp audit invoice. Run MTD and YTD TB's."
,,,,,9/22/2017,Reconcile GL Accounts,1,,$30.00 ,$30.00 ,0,$30.00 ,Payroll journal entry. Acct rec. TB's.
,,,,,9/28/2017,Reconcile GL Accounts,5.5,,$30.00 ,$165.00 ,0,$165.00 ,"QB's payroll report. GP payroll JE and payroll
accrual. Acct recs and adjusting JE's. Run TB's."
,,,,,9/29/2017,Reconcile GL Accounts,6.75,,$30.00 ,$202.50 ,0,$202.50 ,QB's PR. PR & Adj JE's. Acct recs. Bank rec.
,,,,,10/1/2017,Reconcile GL Accounts,0,0.75,$30.00 ,$0.00 ,0,$0.00 ,"QB's close Sept period. Couldn't get into Regions
Bank. Invalid creditionals. Ran TB's."
,,,,,10/2/2017,Reconcile GL Accounts,6.25,,$30.00 ,$187.50 ,0,$187.50 ,"Acct recs. ADJ JE's. Bank Rec. BS & IS variance
explanations."
,,,,,10/4/2017,Reconcile GL Accounts,3.5,,$30.00 ,$105.00 ,0,$105.00 ,Account reconciliations. Adjusting journal entries.
,,,,,10/5/2017,Reconcile GL Accounts,3,,$30.00 ,$90.00 ,0,$90.00 ,"Account reconciliations, Journal entries. E-mails.
Ran trial balances."
,,,,,10/6/2017,Reconcile GL Accounts,1.75,,$30.00 ,$52.50 ,0,$52.50 ,"Payroll JE. Copied Close, Calendar and Financial
spreadsheets to October folder."
,,,,,10/11/2017,Reconcile GL Accounts,1,,$30.00 ,$30.00 ,0,$30.00 ,"JE's. Account reconciliations. Run trial balances.
E-mails."
,,,,,10/16/2017,Reconcile GL Accounts,5.5,,$30.00 ,$165.00 ,0,$165.00 ,Payroll JE & AJE #1. Account reconciliations.
,,,,,10/17/2017,Reconcile GL Accounts,0,1.5,$30.00 ,$0.00 ,0,$0.00 ,"E-mails. Research purchasing module to enter a
deposit through the bank rec module and credit
an A/P vendor."
,,,,,10/18/2017,Reconcile GL Accounts,1.5,,$30.00 ,$45.00 ,0,$45.00 ,JE's.
,,,,,10/29/2017,Reconcile GL Accounts,7.75,,$30.00 ,$232.50 ,0,$232.50 ,"Payroll journal entries. Account and bank recs.
Ran trial balances."
,,,,,11/1/2017,Reconcile GL Accounts,6.75,,$30.00 ,$202.50 ,0,$202.50 ,"Bank rec. JE's. Account recs. Run trial balances.
Variance explanations."
,,,,,11/3/2017,Reconcile GL Accounts,1.75,,$30.00 ,$52.50 ,0,$52.50 ,JE's. Recs. TB's.
,,,,,11/6/2017,Reconcile GL Accounts,2.25,,$30.00 ,$67.50 ,0,$67.50 ,"JE's, Rec's, TB's, E-mail."
,,,,Monthly End Close Total,,,154.5,8.25,,"$4,635.00 ",,"$4,635.00 ",
,,,,Process Improvement,,,,,,,,,
,,,,,10/18/2017,Training & Monitoring,0.5,,$30.00 ,$15.00 ,0,$15.00 ,GoToMeeting with Phillip.
,,,,Process Improvement Total,,,0.5,,,$15.00 ,,$15.00 ,
,,,Accounting Manager Total,,,,155,8.25,,"$4,650.00 ",,"$4,650.00 ",
,,Whiz Q Controller Services Total,,,,,155,8.25,,"$4,650.00 ",,"$4,650.00 ",
,Whiz Q Total,,,,,,155,8.25,,"$4,650.00 ",,"$4,650.00 ",
Bruce Goodwin Total,,,,,,,157,11,,"$4,710.00 ",,"$4,710.00 ",
Burt Copeland,,,,,,,,,,,,,
,70kft,,,,,,,,,,,,
,,CFO Services,,,,,,,,,,,
,,,CFO,,,,,,,,,,
,,,,Acquisition / Sell,,,,,,,,,
,,,,,7/6/2017,Due Diligence,1,,$200.00 ,$200.00 ,40,$120.00 ,call Banker to vet opportunity
,,,,,7/9/2017,Other,0.75,,$200.00 ,$150.00 ,40,$90.00 ,Talking points memo.
,,,,Acquisition / Sell Total,,,1.75,,,$350.00 ,,$210.00 ,
,,,,Client Meetings,,,,,,,,,
,,,,,6/29/2017,CEO,1,1,$200.00 ,$200.00 ,40,$120.00 ,Culture Index
,,,,,10/13/2017,Executive Team,1.5,,$200.00 ,$300.00 ,40,$180.00 ,Review financials.   discuss with Phillip and call Gus & Orlando
,,,,,11/1/2017,Executive Team,2,,$200.00 ,$400.00 ,40,$240.00 ,Meet with Orlando and plan next steps
,,,,,10/23/2017,Executive Team,1,,$200.00 ,$200.00 ,40,$120.00 ,Perp for and make catchup call with Gus and Orlando
,,,,Client Meetings Total,,,5.5,1,,"$1,100.00 ",,$660.00 ,
,,,CFO Total,,,,7.25,1,,"$1,450.00 ",,$870.00 ,
,,CFO Services Total,,,,,7.25,1,,"$1,450.00 ",,$870.00 ,
,70kft Total,,,,,,7.25,1,,"$1,450.00 ",,$870.00 ,
,BenefitsCorp,,,,,,,,,,,,
,,CFO Services,,,,,,,,,,,
,,,CFO_Lead,,,,,,,,,,
,,,,Client Meetings,,,,,,,,,
,,,,,10/24/2017,Executive Team,2,,$200.00 ,$400.00 ,40,$240.00 ,Meeting with John
,,,,,10/18/2017,CEO,2,,$200.00 ,$400.00 ,40,$240.00 ,Kick off meetings with CEO
,,,,Client Meetings Total,,,4,,,$800.00 ,,$480.00 ,
,,,CFO_Lead Total,,,,4,,,$800.00 ,,$480.00 ,
,,CFO Services Total,,,,,4,,,$800.00 ,,$480.00 ,
,,Dashboards,,,,,,,,,,,
,,,CFO_Lead,,,,,,,,,,
,,,,Initial Client Onboarding,,,,,,,,,
,,,,,11/2/2017,3 Year Financial Diagnostic Analysis,0.75,,$200.00 ,$150.00 ,40,$90.00 ,Pull historical data and gain access to QB
,,,,Initial Client Onboarding Total,,,0.75,,,$150.00 ,,$90.00 ,
,,,CFO_Lead Total,,,,0.75,,,$150.00 ,,$90.00 ,
,,Dashboards Total,,,,,0.75,,,$150.00 ,,$90.00 ,
,BenefitsCorp Total,,,,,,4.75,,,$950.00 ,,$570.00 ,
,Exposed Flooring,,,,,,,,,,,,
,,Dashboards,,,,,,,,,,,
,,,CFO_Lead,,,,,,,,,,
,,,,Client Meetings,,,,,,,,,
,,,,,10/30/2017,Executive Team,3.5,,$200.00 ,$700.00 ,40,$420.00 ,"Set up, review and present"
,,,,Client Meetings Total,,,3.5,,,$700.00 ,,$420.00 ,
,,,CFO_Lead Total,,,,3.5,,,$700.00 ,,$420.00 ,
,,Dashboards Total,,,,,3.5,,,$700.00 ,,$420.00 ,
,Exposed Flooring Total,,,,,,3.5,,,$700.00 ,,$420.00 ,
,EZ Bel Construction,,,,,,,,,,,,
,,EZ Bel CFO,,,,,,,,,,,
,,,CFO,,,,,,,,,,
,,,,Acquisition / Sell,,,,,,,,,
,,,,,6/8/2017,Other,0,2.5,$200.00 ,$0.00 ,40,$0.00 ,Prep/ review and call
,,,,,6/9/2017,Due Diligence,1.5,,$200.00 ,$300.00 ,40,$180.00 ,Coordinate service for EZ Bell
,,,,Acquisition / Sell Total,,,1.5,2.5,,$300.00 ,,$180.00 ,
,,,,Client Admin,,,,,,,,,
,,,,,5/4/2017,Engagement Review and Billing,0,1.25,$200.00 ,$0.00 ,40,$0.00 ,Discuss issues with EZ Bel with Patrick
,,,,Client Admin Total,,,0,1.25,,$0.00 ,,$0.00 ,
,,,,Client Meetings,,,,,,,,,
,,,,,3/6/2017,CEO,1,,$200.00 ,$200.00 ,40,$120.00 ,Update call with Stephen and coordination of future services.
,,,,Client Meetings Total,,,1,,,$200.00 ,,$120.00 ,
,,,,Planning & Projections,,,,,,,,,
,,,,,1/3/2017,AOP,2,0,$200.00 ,$400.00 ,40,$240.00 ,Review model with Patrick and revise.
,,,,,2/1/2017,AOP,1,,$200.00 ,$200.00 ,40,$120.00 ,Work product review and update
,,,,,3/10/2017,AOP,1.25,,$200.00 ,$250.00 ,40,$150.00 ,Review progress with Patrick
,,,,Planning & Projections Total,,,4.25,0,,$850.00 ,,$510.00 ,
,,,CFO Total,,,,6.75,3.75,,"$1,350.00 ",,$810.00 ,
,,EZ Bel CFO Total,,,,,6.75,3.75,,"$1,350.00 ",,$810.00 ,
,EZ Bel Construction Total,,,,,,6.75,3.75,,"$1,350.00 ",,$810.00 ,
,Frontera,,,,,,,,,,,,
,,CFO Services,,,,,,,,,,,
,,,CFO_Lead,,,,,,,,,,
,,,,Acquisition / Sell,,,,,,,,,
,,,,,10/31/2017,Other,2,,$200.00 ,$400.00 ,40,$240.00 ,Staffing for interim role
,,,,Acquisition / Sell Total,,,2,,,$400.00 ,,$240.00 ,
,,,,Client Meetings,,,,,,,,,
,,,,,10/26/2017,Executive Team,2,,$200.00 ,$400.00 ,40,$240.00 ,Meeting with Lindsay on determining and defining needs
,,,,,10/23/2017,Executive Team,1,,$200.00 ,$200.00 ,40,$120.00 ,Due Diligence kickoff meeting.
,,,,Client Meetings Total,,,3,,,$600.00 ,,$360.00 ,
,,,,Corporate Structure,,,,,,,,,
,,,,,10/30/2017,Compensation Work,1.75,,$200.00 ,$350.00 ,40,$210.00 ,Coordinating candidate and timing
,,,,Corporate Structure Total,,,1.75,,,$350.00 ,,$210.00 ,
,,,CFO_Lead Total,,,,6.75,,,"$1,350.00 ",,$810.00 ,
,,CFO Services Total,,,,,6.75,,,"$1,350.00 ",,$810.00 ,
,Frontera Total,,,,,,6.75,,,"$1,350.00 ",,$810.00 ,
,Hanger Project,,,,,,,,,,,,
,,Hanger Project CFO,,,,,,,,,,,
,,,CFO_Lead,,,,,,,,,,
,,,,Client Meetings,,,,,,,,,
,,,,,6/13/2017,CEO,2.25,,$200.00 ,$450.00 ,40,$270.00 ,Meet with Kirby
,,,,Client Meetings Total,,,2.25,,,$450.00 ,,$270.00 ,
,,,,Process Improvement,,,,,,,,,
,,,,,7/5/2017,Process Flow Review & Design,0.25,,$200.00 ,$50.00 ,40,$30.00 ,Dash Org Chart - edit and send
,,,,Process Improvement Total,,,0.25,,,$50.00 ,,$30.00 ,
,,,CFO_Lead Total,,,,2.5,,,$500.00 ,,$300.00 ,
,,Hanger Project CFO Total,,,,,2.5,,,$500.00 ,,$300.00 ,
,Hanger Project Total,,,,,,2.5,,,$500.00 ,,$300.00 ,
,J&S Electronics,,,,,,,,,,,,
,,J&S CFO,,,,,,,,,,,
,,,CFO_Lead,,,,,,,,,,
,,,,(blank),,,,,,,,,
,,,,,1/16/2017,,1,,$200.00 ,$200.00 ,40,$120.00 ,Review Access' response and layout recommended corrective assessments.  Respond to Mary Beth
,,,,(blank) Total,,,1,,,$200.00 ,,$120.00 ,
,,,,Acquisition / Sell,,,,,,,,,
,,,,,1/19/2017,Other,1,0,$200.00 ,$200.00 ,40,$120.00 ,Discuss changes and implementation plan with Mary Beth
,,,,Acquisition / Sell Total,,,1,0,,$200.00 ,,$120.00 ,
,,,CFO_Lead Total,,,,2,0,,$400.00 ,,$240.00 ,
,,J&S CFO Total,,,,,2,0,,$400.00 ,,$240.00 ,
,J&S Electronics Total,,,,,,2,0,,$400.00 ,,$240.00 ,
,McCon,,,,,,,,,,,,
,,McCon CFO,,,,,,,,,,,
,,,CFO,,,,,,,,,,
,,,,(blank),,,,,,,,,
,,,,,1/9/2017,,2.5,0,$180.00 ,$450.00 ,40,$270.00 ,Chris on head counts and maggie & nate on projects
,,,,(blank) Total,,,2.5,0,,$450.00 ,,$270.00 ,
,,,,Acquisition / Sell,,,,,,,,,
,,,,,6/7/2017,Other,2,0,$180.00 ,$360.00 ,40,$216.00 ,Meeting planning and discussion of issues
,,,,,6/15/2017,Due Diligence,2.5,,$180.00 ,$450.00 ,40,$270.00 ,
,,,,Acquisition / Sell Total,,,4.5,0,,$810.00 ,,$486.00 ,
,,,,Monthly End Close,,,,,,,,,
,,,,,4/25/2017,Monthly Close Summit,1.25,,$180.00 ,$225.00 ,40,$135.00 ,Results review
,,,,Monthly End Close Total,,,1.25,,,$225.00 ,,$135.00 ,
,,,,Planning & Projections,,,,,,,,,
,,,,,1/16/2017,AOP,4.5,0,$180.00 ,$810.00 ,40,$486.00 ,Final AOP and presentation
,,,,,1/3/2017,AOP,1.5,0,$180.00 ,$270.00 ,40,$162.00 ,Review with Patrick and make changes
,,,,,1/6/2017,AOP,4,0,$180.00 ,$720.00 ,40,$432.00 ,Prepare for and present final budget to leadership.
,,,,Planning & Projections Total,,,10,0,,"$1,800.00 ",,"$1,080.00 ",
,,,,Process Improvement,,,,,,,,,
,,,,,2/17/2017,Process Flow Review & Design,1,,$180.00 ,$180.00 ,40,$108.00 ,Work with Maggie on her costing to dispenser projects
,,,,Process Improvement Total,,,1,,,$180.00 ,,$108.00 ,
,,,CFO Total,,,,19.25,0,,"$3,465.00 ",,"$2,079.00 ",
,,McCon CFO Total,,,,,19.25,0,,"$3,465.00 ",,"$2,079.00 ",
,McCon Total,,,,,,19.25,0,,"$3,465.00 ",,"$2,079.00 ",
,New Life CFO Services,,,,,,,,,,,,
,,NLCFO Admin,,,,,,,,,,,
,,,CFO,,,,,,,,,,
,,,,Dashboards,,,,,,,,,
,,,,,1/2/2017,Other,3.5,0,$65.00 ,$227.50 ,0,$227.50 ,Database design discussion and Goals assessment with diego
,,,,Dashboards Total,,,3.5,0,,$227.50 ,,$227.50 ,
,,,CFO Total,,,,3.5,0,,$227.50 ,,$227.50 ,
,,,CFO_Lead,,,,,,,,,,
,,,,(blank),,,,,,,,,
,,,,,1/5/2017,,0,3,$65.00 ,$0.00 ,0,$0.00 ,Testing with Diego
,,,,,1/11/2017,,0,2,$65.00 ,$0.00 ,0,$0.00 ,"Time, billing and invoicing"
,,,,,1/10/2017,,1,0,$65.00 ,$65.00 ,0,$65.00 ,Billings and payroll
,,,,(blank) Total,,,1,5,,$65.00 ,,$65.00 ,
,,,,Client Admin,,,,,,,,,
,,,,,1/2/2017,Engagement Review and Billing,3,0,$65.00 ,$195.00 ,0,$195.00 ,Reconcile Woodwright
,,,,,1/3/2017,Engagement Review and Billing,3.5,0,$65.00 ,$227.50 ,0,$227.50 ,"Time entry, payroll processing"
